time,channel_1
0.0,-9.0
0.005760036864235931,15.0
0.011520073728471861,35.0
0.01728011059270779,37.0
0.023040147456943723,19.0
0.028800184321179652,4.0
0.03456022118541558,7.0
0.04032025804965152,40.0
0.046080294913887446,59.0
0.051840331778123375,51.0
0.057600368642359304,18.0
0.06336040550659523,-12.0
0.06912044237083116,-24.0
0.0748804792350671,-12.0
0.08064051609930303,22.0
0.08640055296353896,47.0
0.09216058982777489,54.0
0.09792062669201082,40.0
0.10368066355624675,29.0
0.10944070042048268,30.0
0.11520073728471861,36.0
0.12096077414895455,64.0
0.12672081101319047,77.0
0.1324808478774264,74.0
0.13824088474166232,50.0
0.14400092160589828,30.0
0.1497609584701342,17.0
0.15552099533437014,25.0
0.16128103219860607,41.0
0.167041069062842,47.0
0.17280110592707792,30.0
0.17856114279131385,9.0
0.18432117965554978,1.0
0.1900812165197857,7.0
0.19584125338402164,29.0
0.20160129024825757,46.0
0.2073613271124935,44.0
0.21312136397672943,28.0
0.21888140084096536,11.0
0.22464143770520129,19.0
0.23040147456943721,26.0
0.23616151143367314,27.0
0.2419215482979091,17.0
0.24768158516214503,-14.0
0.25344162202638093,-43.0
0.25920165889061686,-48.0
0.2649616957548528,-18.0
0.2707217326190887,17.0
0.27648176948332465,17.0
0.2822418063475606,57.0
0.28800184321179656,71.0
0.2937618800760325,66.0
0.2995219169402684,44.0
0.30528195380450435,32.0
0.3110419906687403,30.0
0.3168020275329762,34.0
0.32256206439721213,46.0
0.32832210126144806,51.0
0.334082138125684,53.0
0.3398421749899199,48.0
0.34560221185415585,48.0
0.3513622487183918,65.0
0.3571222855826277,79.0
0.36288232244686364,87.0
0.36864235931109957,76.0
0.3744023961753355,45.0
0.3801624330395714,19.0
0.38592246990380735,11.0
0.3916825067680433,17.0
0.3974425436322792,29.0
0.40320258049651514,36.0
0.40896261736075107,31.0
0.414722654224987,21.0
0.4204826910892229,10.0
0.42624272795345886,10.0
0.4320027648176948,14.0
0.4377628016819307,16.0
0.44352283854616664,16.0
0.44928287541040257,26.0
0.4550429122746385,24.0
0.46080294913887443,18.0
0.46656298600311036,9.0
0.4723230228673463,-2.0
0.47808305973158227,-1.0
0.4838430965958182,18.0
0.48960313346005413,51.0
0.49536317032429006,76.0
0.501123207188526,76.0
0.5068832440527619,70.0
0.5126432809169978,52.0
0.5184033177812337,34.0
0.5241633546454697,26.0
0.5299233915097056,30.0
0.5356834283739416,25.0
0.5414434652381774,14.0
0.5472035021024134,-1.0
0.5529635389666493,-10.0
0.5587235758308853,-8.0
0.5644836126951212,3.0
0.5702436495593571,21.0
0.5760036864235931,31.0
0.581763723287829,35.0
0.587523760152065,41.0
0.5932837970163009,44.0
0.5990438338805368,43.0
0.6048038707447727,31.0
0.6105639076090087,33.0
0.6163239444732446,13.0
0.6220839813374806,-5.0
0.6278440182017164,-21.0
0.6336040550659524,-46.0
0.6393640919301883,-55.0
0.6451241287944243,-52.0
0.6508841656586601,-29.0
0.6566442025228961,-13.0
0.662404239387132,0.0
0.668164276251368,9.0
0.6739243131156039,7.0
0.6796843499798398,3.0
0.6854443868440757,6.0
0.6912044237083117,17.0
0.6969644605725476,19.0
0.7027244974367836,12.0
0.7084845343010194,2.0
0.7142445711652554,12.0
0.7200046080294913,40.0
0.7257646448937273,77.0
0.7315246817579631,93.0
0.7372847186221991,72.0
0.743044755486435,37.0
0.748804792350671,17.0
0.7545648292149069,18.0
0.7603248660791428,26.0
0.7660849029433788,42.0
0.7718449398076147,35.0
0.7776049766718507,16.0
0.7833650135360866,-1.0
0.7891250504003225,-2.0
0.7948850872645584,7.0
0.8006451241287944,8.0
0.8064051609930303,9.0
0.8121651978572663,-4.0
0.8179252347215021,-19.0
0.8236852715857381,-25.0
0.829445308449974,-10.0
0.83520534531421,16.0
0.8409653821784459,32.0
0.8467254190426818,45.0
0.8524854559069177,36.0
0.8582454927711537,16.0
0.8640055296353896,8.0
0.8697655664996256,9.0
0.8755256033638614,16.0
0.8812856402280974,19.0
0.8870456770923333,21.0
0.8928057139565693,14.0
0.8985657508208051,13.0
0.9043257876850411,20.0
0.910085824549277,29.0
0.915845861413513,25.0
0.9216058982777489,11.0
0.9273659351419848,-4.0
0.9331259720062207,4.0
0.9388860088704567,23.0
0.9446460457346926,47.0
0.9504060825989286,58.0
0.9561661194631645,34.0
0.9619261563274004,7.0
0.9676861931916364,-6.0
0.9734462300558723,5.0
0.9792062669201083,26.0
0.9849663037843441,38.0
0.9907263406485801,39.0
0.996486377512816,12.0
1.002246414377052,-10.0
1.0080064512412878,-14.0
1.0137664881055237,3.0
1.0195265249697598,19.0
1.0252865618339957,27.0
1.0310465986982316,11.0
1.0368066355624674,-30.0
1.0425666724267035,-57.0
1.0483267092909394,-43.0
1.0540867461551753,-9.0
1.0598467830194112,11.0
